,ID_REF,m2h 1-pvalue,m2h stat,m2h2-pvalue
46262,237013_at,0.486673079,-0.033498172,0.973346158
8201,1566207_at,0.486699207,-0.033432472,0.973398414
8416,1566739_at,0.486701037,-0.033427871,0.973402074
16938,207496_at,0.486705247,-0.033417284,0.973410495
11715,202267_at,0.486718802,-0.033383201,0.973437604
36672,227417_at,0.486732119,-0.033349715,0.973464238
51480,242231_at,0.486738417,-0.033333878,0.973476834
29565,220281_at,0.48688037,-0.032976938,0.973760741
32740,223463_at,0.486888933,-0.032955408,0.973777865
40300,231046_at,0.486897137,-0.032934779,0.973794274
54276,37424_at,0.486916119,-0.03288705,0.973832237
6000,1561429_a_at,0.486950828,-0.032799773,0.973901657
22234,212930_at,0.487004871,-0.032663885,0.974009743
23983,214687_x_at,0.487020615,-0.032624299,0.974041229
45173,235924_at,0.487054805,-0.03253833,0.974109609
17864,208446_s_at,0.487089494,-0.032451105,0.974178988
28546,219262_at,0.487117223,-0.032381382,0.974234446
5358,1560455_at,0.487124629,-0.032362762,0.974249258
37177,227923_at,0.487144215,-0.032313513,0.97428843
16116,206670_s_at,0.487146582,-0.032307561,0.974293165
48468,239219_at,0.487208836,-0.032151029,0.974417673
53639,244389_at,0.487217608,-0.032128974,0.974435215
24988,215695_s_at,0.487223833,-0.032113321,0.974447666
349,1552747_a_at,0.487256499,-0.032031185,0.974512999
42502,233250_x_at,0.487305062,-0.031909079,0.974610124
46101,236852_at,0.487311801,-0.031892134,0.974623602
40622,231368_at,0.487319854,-0.031871886,0.974639708
51049,241800_x_at,0.487326383,-0.03185547,0.974652765
3040,1556486_at,0.487385992,-0.03170559,0.974771984
31936,222657_s_at,0.487416532,-0.031628801,0.974833064
1857,1554819_a_at,0.487436536,-0.031578503,0.974873073
44822,235573_at,0.487444805,-0.031557712,0.97488961
29608,220324_at,0.487467357,-0.031501008,0.974934714
47828,238579_at,0.487495765,-0.03142958,0.97499153
39691,230437_s_at,0.487496549,-0.03142761,0.974993098
48029,238780_s_at,0.487513007,-0.031386228,0.975026014
13972,204525_at,0.487588752,-0.03119578,0.975177503
10526,201078_at,0.48763963,-0.031067856,0.97527926
42287,233034_at,0.487685601,-0.030952271,0.975371201
26283,216993_s_at,0.487689678,-0.030942018,0.975379357
19818,210420_at,0.487731152,-0.030837741,0.975462304
53180,243931_at,0.487741677,-0.030811278,0.975483354
34098,224840_at,0.48778443,-0.030703784,0.97556886
24304,215010_s_at,0.487788049,-0.030694684,0.975576099
33063,223787_s_at,0.487813656,-0.030630302,0.975627312
45348,236099_at,0.487850682,-0.030537208,0.975701363
10805,201357_s_at,0.487866994,-0.030496195,0.975733987
53582,244332_at,0.487879565,-0.030464588,0.97575913
6324,1561964_at,0.487920261,-0.030362267,0.975840521
2881,1556248_at,0.487973472,-0.030228481,0.975946944
44570,235321_at,0.487995256,-0.030173709,0.975990513
25443,216151_at,0.488000517,-0.030160482,0.976001035
35067,225810_at,0.488008694,-0.030139922,0.976017389
53064,243815_at,0.488019987,-0.030111531,0.976039973
22417,213114_at,0.488052807,-0.030029012,0.976105615
51514,242265_at,0.488081754,-0.029956232,0.976163509
23298,213999_at,0.488115039,-0.029872546,0.976230079
22594,213293_s_at,0.488121281,-0.029856853,0.976242561
39982,230728_at,0.488202596,-0.029652409,0.976405192
34034,224776_at,0.488221053,-0.029606004,0.976442106
38517,229263_at,0.488279746,-0.029458437,0.976559493
48851,239602_at,0.48828998,-0.029432707,0.97657996
36037,226782_at,0.488308179,-0.029386951,0.976616358
51469,242220_at,0.48837215,-0.029226117,0.9767443
16409,206963_s_at,0.488434984,-0.029068141,0.976869968
2787,1556105_at,0.48851613,-0.028864127,0.97703226
47366,238117_at,0.488542816,-0.028797035,0.977085631
40493,231239_at,0.488585924,-0.028688654,0.977171848
9464,1569828_at,0.488598381,-0.028657335,0.977196763
31248,221968_s_at,0.488599767,-0.02865385,0.977199535
47473,238224_at,0.488649902,-0.028527804,0.977299804
54117,244867_at,0.488655314,-0.028514198,0.977310628
7405,1563904_at,0.488656033,-0.02851239,0.977312066
20890,211565_at,0.488657625,-0.028508388,0.97731525
44792,235543_at,0.488661787,-0.028497924,0.977323574
8771,1568635_at,0.488668289,-0.028481578,0.977336578
7571,1564315_at,0.488685432,-0.028438477,0.977370865
24930,215637_at,0.488706731,-0.02838493,0.977413462
4325,1558649_at,0.488706884,-0.028384545,0.977413768
1401,1554205_s_at,0.488795106,-0.028162744,0.977590212
38505,229251_s_at,0.488937442,-0.027804899,0.977874884
16925,207483_s_at,0.488974951,-0.027710599,0.977949902
54324,38964_r_at,0.489059476,-0.027498097,0.978118952
38746,229492_at,0.489105429,-0.02738257,0.978210857
30225,220941_s_at,0.489133017,-0.027313213,0.978266033
51293,242044_at,0.489158889,-0.027248167,0.978317779
7003,1563059_at,0.489266912,-0.026976594,0.978533825
41470,232216_at,0.489307081,-0.026875609,0.978614162
35791,226535_at,0.489308344,-0.026872433,0.978616689
10699,201251_at,0.489323284,-0.026834874,0.978646569
3629,1557417_s_at,0.489334986,-0.026805455,0.978669973
52451,243202_at,0.489366351,-0.026726604,0.978732702
48855,239606_at,0.489366746,-0.02672561,0.978733493
43082,233832_at,0.489372221,-0.026711847,0.978744442
41798,232544_at,0.489383943,-0.026682378,0.978767886
16444,206998_x_at,0.489403879,-0.026632259,0.978807758
54122,244872_at,0.489410938,-0.026614513,0.978821876
25766,216475_at,0.48943286,-0.026559401,0.97886572
22197,212892_at,0.489437518,-0.026547692,0.978875035
8786,1568660_a_at,0.489450258,-0.026515663,0.978900516
7454,1564050_at,0.489472819,-0.026458943,0.978945639
46822,237573_at,0.489477162,-0.026448026,0.978954324
40353,231099_at,0.489486771,-0.02642387,0.978973541
8003,1565797_at,0.48950327,-0.02638239,0.97900654
17415,207984_s_at,0.489507926,-0.026370687,0.979015851
30676,221393_at,0.489532713,-0.026308373,0.979065425
50559,241310_at,0.489572483,-0.026208391,0.979144966
37644,228390_at,0.489599048,-0.026141607,0.979198097
4485,1558900_at,0.489614972,-0.026101576,0.979229944
46313,237064_x_at,0.489626244,-0.026073239,0.979252488
5180,1560128_x_at,0.489643784,-0.026029144,0.979287567
38049,228795_at,0.489712368,-0.025856726,0.979424736
42572,233320_at,0.489713096,-0.025854896,0.979426192
2431,1555586_at,0.489795276,-0.0256483,0.979590553
28820,219536_s_at,0.489811065,-0.025608608,0.97962213
49232,239983_at,0.489811292,-0.025608036,0.979622585
10251,200803_s_at,0.489854138,-0.025500325,0.979708277
3846,1557731_at,0.489878635,-0.025438743,0.979757269
6271,1561877_at,0.4898824,-0.025429278,0.9797648
52957,243708_at,0.489887948,-0.02541533,0.979775896
22592,213291_s_at,0.48989688,-0.025392875,0.979793761
155,1552478_a_at,0.489901304,-0.025381755,0.979802608
29033,219749_at,0.489904941,-0.02537261,0.979809883
27733,218448_at,0.489930144,-0.025309253,0.979860288
37896,228642_at,0.489953527,-0.025250471,0.979907053
14942,205495_s_at,0.489978691,-0.02518721,0.979957382
47881,238632_at,0.489990429,-0.025157702,0.979980859
3589,1557350_at,0.490001502,-0.025129865,0.980003005
29309,220025_at,0.490058339,-0.024986983,0.980116678
28476,219192_at,0.49006348,-0.02497406,0.98012696
11011,201563_at,0.490107702,-0.024862891,0.980215404
4531,1558995_at,0.490123791,-0.024822444,0.980247583
48946,239697_x_at,0.490137626,-0.024787665,0.980275252
43927,234678_at,0.490141507,-0.02477791,0.980283013
42546,233294_at,0.490158797,-0.024734446,0.980317593
33602,224335_s_at,0.490174853,-0.024694081,0.980349706
30266,220982_s_at,0.490221899,-0.024575813,0.980443799
21837,212532_s_at,0.490222244,-0.024574948,0.980444487
8150,1566114_at,0.490222798,-0.024573555,0.980445595
45972,236723_at,0.490238826,-0.024533263,0.980477651
